lemma,Cuneiform,source,sumerian,gloss,value,squareColor,order
VE 1,a,EBK-A,eš<sub>2</sub>-bar-kin<sub>5</sub>,-,not glossed,#ffcc66,0000
VE 1,b,A1,eš<sub>2</sub>-bar-kin<sub>5</sub>,not glossed,not glossed,#66ff99,0001
VE 2,null,EBK-A,nig<sub>2</sub>-tum<sub>2</sub>,-,not glossed,#ffcc66,0002
VE 2,null,A1,nig<sub>2</sub>-tum<sub>2</sub>,not glossed,not glossed,#66ff99,0003
VE 2,null,C,[nig<sub>2</sub>]-tum<sub>2</sub>,not glossed,not glossed,#66ff99,0004
VE 40a,null,EBK-A,nig<sub>2</sub>-eš<sub>2</sub>-nu-eš<sub>2</sub>,-,not glossed,#ffcc66,0005
VE 40a,null,A1,nig<sub>2</sub>-eš<sub>2</sub>-nu-eš<sub>2</sub>,<i>su-mu-tum</i>,glossed,#ff66cc,0006
VE 40a,null,B8,nig<sub>2</sub>-eš<sub>2</sub>-nu-eš<sub>2</sub>,<i>su-mu-tum</i>,glossed,#ff66cc,0007
VE 100,null,i,nig<sub>2</sub>-gig,ne-ki-ki / <i>ni-ki-tum</i> ,glossed,#ff66cc,0008
VE 149,null,EBK-A,u<sub>3</sub>-nu-gar,-,not glossed,#ffcc66,0009
VE 149,null,A2,u<sub>3</sub>-nu-gar,not glossed,not glossed,#66ff99,0010
VE 149,null,L,u<sub>3</sub>-nu-gar,not glossed,not glossed,#66ff99,0011
VE 149,null,C,u<sub>3</sub>-nu-gar,<i>u</i><sub>3</sub>-<i>ba-su-um</i>,glossed,#ff66cc,0012
VE 186a-b,null,EBK-A,inim-di,-,not glossed,#ffcc66,0013
VE 186a-b,null,A2,inim-di,<i>dal-da-gi-lum</i>,glossed,#ff66cc,0014
VE 186a-b,null,B8,inim-di,<i>dal-da-gi-lum</i>,glossed,#ff66cc,0015
VE 186a-b,null,C,inim-di,<i>dal-da-gi-lum</i>,glossed,#ff66cc,0016
VE 186a-b,null,K,inim-di,not glossed,not glossed,#66ff99,0017
VE 186a-b,null,i,inim-di,ne-me-ti <i>ti-da-bir</i><sub>5</sub>-<i>lum</i>,glossed,#ff66cc,0018
VE 190,null,EBK-A,KA.MA,-,not glossed,#ffcc66,0019
VE 190,null,A4-6,KA.MA,not glossed,not glossed,#66ff99,0020
VE 190,null,ak,KA.MA,not glossed,not glossed,#66ff99,0021
VE 190,null,s,KA.MA,<i>bu</i><sub>3</sub>-<i>gu</i><sub>2</sub>-<i>um</i>,glossed,#ff66cc,0022
VE 254,null,EBK-A,sag-sum,-,not glossed,#ffcc66,0023
VE 254,null,A4-6,sag-sum,[x]-⸢x⸣-<i>lu-um</i> ✽ ,glossed,#ff66cc,0024
VE 254,null,K,⸢sag⸣-sum,<i>za-ba-lu</i> SAG,glossed,#ff66cc,0025
VE 254,null,O,sag-sum,<i>za-bi</i><sub>2</sub>-<i>lu-um</i>,glossed,#ff66cc,0026
VE 278,null,O,u<sub>2</sub>-gigir,<i>a-ša-ḫa-bu</i><sub>3</sub>,glossed,#ff66cc,0027
VE 278,null,R,u<sub>2</sub>-gigir,not glossed,glossed,#ff66cc,0028
VE 291,null,EBK-A,<sup>u₂</sup>gudu<sub>4</sub>,-,not glossed,#ffcc66,0029
VE 291,null,A4-6,<sup>u₂</sup>gudu<sub>4</sub>,<i>sa-na-tum</i> ✽,glossed,#ff66cc,0030
